字段名,字段分类,实际含义,官方正常数值区间,数据集内数值范围
name,基础信息类,宝可梦的官方中文名称，唯一标识每一只宝可梦,文本字符串，无重复值,共801个唯一名称，无重复
japanese_name,基础信息类,宝可梦的官方日文原名，是宝可梦在日本本土的标准名称,日文文本字符串，无重复值,共801个唯一日文名称
pokedex_number,基础信息类,宝可梦的全国图鉴编号，是宝可梦在官方图鉴中的唯一数字编号,1~1025（截至第九世代）,1 ~ 801
generation,基础信息类,宝可梦首次登场的游戏世代，对应宝可梦系列的正统游戏版本,1~9（截至第九世代）,1 ~ 7
type1,基础信息类,宝可梦的第一属性，决定了宝可梦的属性相克、可学习招式等核心机制,官方18种属性：一般、火、水、草、电、冰、格斗、毒、地面、飞行、超能力、虫、岩石、幽灵、龙、恶、钢、妖精,共18种属性，覆盖全部官方属性
type2,基础信息类,宝可梦的第二属性，部分宝可梦拥有双属性，进一步影响属性相克机制,官方18种属性 或 空值（单属性宝可梦）,共18种属性，含空值（单属性）
classfication,基础信息类,"宝可梦的官方分类，是对宝可梦的简短定位描述，比如""种子宝可梦""、""火焰宝可梦""",文本字符串,共588个不同分类
abilities,基础信息类,宝可梦的特性，是宝可梦在对战中拥有的特殊被动能力，分为普通特性和隐藏特性,数组格式的特性名称文本,共482组不同的特性组合
is_legendary,基础信息类,是否为传说宝可梦，传说宝可梦通常拥有更高的种族值、更低的捕获率，是游戏中的稀有宝可梦,0（非传说）、1（传说）,0~1，共70只传说宝可梦
against_normal,属性相克类,受到一般属性招式攻击时的伤害倍率，是宝可梦对战的核心机制之一,0（免疫）、0.25、0.5、1、2、4,0.0 ~ 1.0
against_fire,属性相克类,受到火属性招式攻击时的伤害倍率,0（免疫）、0.25、0.5、1、2、4,0.25 ~ 4.0
against_water,属性相克类,受到水属性招式攻击时的伤害倍率,0（免疫）、0.25、0.5、1、2、4,0.25 ~ 4.0
against_grass,属性相克类,受到草属性招式攻击时的伤害倍率,0（免疫）、0.25、0.5、1、2、4,0.25 ~ 4.0
against_electric,属性相克类,受到电属性招式攻击时的伤害倍率,0（免疫）、0.25、0.5、1、2、4,0.0 ~ 4.0
against_ice,属性相克类,受到冰属性招式攻击时的伤害倍率,0（免疫）、0.25、0.5、1、2、4,0.25 ~ 4.0
against_fight,属性相克类,受到格斗属性招式攻击时的伤害倍率,0（免疫）、0.25、0.5、1、2、4,0.0 ~ 4.0
against_poison,属性相克类,受到毒属性招式攻击时的伤害倍率,0（免疫）、0.25、0.5、1、2、4,0.0 ~ 4.0
against_ground,属性相克类,受到地面属性招式攻击时的伤害倍率,0（免疫）、0.25、0.5、1、2、4,0.0 ~ 4.0
against_flying,属性相克类,受到飞行属性招式攻击时的伤害倍率,0（免疫）、0.25、0.5、1、2、4,0.25 ~ 4.0
against_psychic,属性相克类,受到超能力属性招式攻击时的伤害倍率,0（免疫）、0.25、0.5、1、2、4,0.0 ~ 4.0
against_bug,属性相克类,受到虫属性招式攻击时的伤害倍率,0（免疫）、0.25、0.5、1、2、4,0.25 ~ 4.0
against_rock,属性相克类,受到岩石属性招式攻击时的伤害倍率,0（免疫）、0.25、0.5、1、2、4,0.25 ~ 4.0
against_ghost,属性相克类,受到幽灵属性招式攻击时的伤害倍率,0（免疫）、0.25、0.5、1、2、4,0.0 ~ 4.0
against_dragon,属性相克类,受到龙属性招式攻击时的伤害倍率,0（免疫）、0.25、0.5、1、2、4,0.0 ~ 2.0
against_dark,属性相克类,受到恶属性招式攻击时的伤害倍率,0（免疫）、0.25、0.5、1、2、4,0.25 ~ 4.0
against_steel,属性相克类,受到钢属性招式攻击时的伤害倍率,0（免疫）、0.25、0.5、1、2、4,0.25 ~ 4.0
against_fairy,属性相克类,受到妖精属性招式攻击时的伤害倍率,0（免疫）、0.25、0.5、1、2、4,0.25 ~ 4.0
hp,基础种族值类,宝可梦的HP种族值，决定了宝可梦的基础生命值上限，是宝可梦的核心生存能力指标,1~255，90以上为较优，120以上为极高,1 ~ 255
attack,基础种族值类,宝可梦的攻击种族值，决定了宝可梦的物理招式伤害，是物理输出核心指标,1~255，90以上为较优，120以上为极高,5 ~ 185
defense,基础种族值类,宝可梦的防御种族值，决定了宝可梦受到物理招式攻击时的减伤能力，是物理生存核心指标,1~255，90以上为较优，120以上为极高,5 ~ 230
sp_attack,基础种族值类,宝可梦的特攻种族值，决定了宝可梦的特殊招式伤害，是特殊输出核心指标,1~255，90以上为较优，120以上为极高,10 ~ 194
sp_defense,基础种族值类,宝可梦的特防种族值，决定了宝可梦受到特殊招式攻击时的减伤能力，是特殊生存核心指标,1~255，90以上为较优，120以上为极高,20 ~ 230
speed,基础种族值类,宝可梦的速度种族值，决定了宝可梦在对战中的出招顺序，速度越高越优先出招,1~255，90以上为较优，120以上为极高,5 ~ 180
base_total,基础种族值类,宝可梦的六项种族值总和，是衡量宝可梦整体强度的核心综合指标,175~780，500以上为较强，600以上为传说级强度,180 ~ 780
base_egg_steps,培育相关类,宝可梦的孵化步数，决定了宝可梦的蛋需要多少步才能孵化，是培育的核心指标之一,1280~30720步，对应5~120个孵化周期，普通宝可梦多为5~40周期，传说宝可梦多为80~120周期,1280 ~ 30720 步
base_happiness,培育相关类,宝可梦的基础亲密度，决定了宝可梦被捕获时的初始亲密度，影响部分招式威力和进化条件,0~255，普通宝可梦多为70，传说宝可梦多为35,0 ~ 140
capture_rate,培育相关类,宝可梦的捕获率，决定了宝可梦在游戏中被精灵球捕获的难易程度，数值越高越容易捕获,3~255，传说宝可梦通常为3，普通宝可梦多为45~255,100 ~ 90
percentage_male,培育相关类,宝可梦的雄性占比百分比，决定了宝可梦出现雄性的概率，部分宝可梦无性别,0~100（雄性占比百分比），或空值（无性别）,0.0 ~ 100.0%，含空值（无性别）
experience_growth,培育相关类,宝可梦的升级经验类型，决定了宝可梦从1级升级到100级所需的总经验值，分为6种官方类型,6种官方类型：快速、中等、慢速、中等快速、中等慢速、波动,共6种类型，覆盖全部官方类型
height_m,体型相关类,宝可梦的官方身高，单位为米，是宝可梦的基础体型数据,0.1~20.0米,0.1 ~ 14.5 米
weight_kg,体型相关类,宝可梦的官方体重，单位为千克，是宝可梦的基础体型数据，影响部分招式威力,0.1~1000.0千克,0.1 ~ 999.9 千克
